Treatment,Specimen,Date Entered,Days_Until_Death,Size(cm),Size Grouping
0,1,2020.03.13,2,0.45,Large
0,2,2020.03.13,1,0.46,Large
0,3,2020.03.13,1,0.51,Large
0,4,2020.03.13,1,0.49,Large
0,5,2020.03.13,1,0.42,Large
0.5,6,2020.03.13,2,0.29,Small
0.5,7,2020.03.14,8,0.34,Small
0.5,8,2020.03.15,8,0.32,Small
0.5,9,2020.03.13,1,0.29,Small
0.5,10,2020.03.13,1,0.3,Small
2,11,2020.03.13,2,0.21,Small
2,12,2020.03.14,8,0.38,Small
2,13,2020.03.15,8,0.19,Small
2,14,2020.03.16,8,0.42,Large
2,15,2020.03.17,8,0.39,Small
4,16,2020.03.13,2,0.51,Large
4,17,2020.03.14,8,0.31,Small
4,18,2020.03.15,8,0.32,Small
4,19,2020.03.16,8,0.38,Small
4,20,2020.03.13,5,0.34,Small
6,21,2020.03.14,8,0.32,Small
6,22,2020.03.15,8,0.42,Large
6,23,2020.03.16,7,0.42,Large
6,24,2020.03.17,8,0.29,Small
6,25,2020.03.18,8,0.43,Large
9,26,2020.03.13,2,0.45,Large
9,27,2020.03.13,2,0.42,Large
9,28,2020.03.13,2,0.45,Large
9,29,2020.03.13,2,0.42,Large
9,30,2020.03.13,1,0.51,Large
